met.x	met.y	rxn
C00137	C00191	R01184
C00137	C01177	R01185
C00137	C03546	R01186
C00137	C04006	R01187
C00137	C01225	R01193
C00137	C01235	R01194
C00137	C01194	R01802
C00140	C01674	R00022
C00140	C00357	R01201
C00140	C00611	R01205
C00140	C00461	R01206
C00140	C00645	R01207
C00140	C04755	R04373
C00140	C19802	R09672
C00140	C19804	R09673
C00141	C00183	R01214
C00141	C15976	R07599
C00143	C00445	R01218
C00143	C00445	R01220
C00143	C00440	R01224
C00143	C00415	R02101
C00143	C00440	R07168
C00146	C00548	R01241
C00147	C00170	R01402
C00147	C00212	R01561
C00147	C00559	R02557
C00148	C03912	R01248
C00148	C03912	R01251
C00148	C01157	R01252
C00148	C02702	R03661
C00152	C03402	R03648
C00153	C02918	R01269
C00153	C00455	R01271
C00153	C03150	R02294
C00154	C00249	R01274
C00154	C05272	R01278
C00154	C05272	R01279
C00154	C00249	R01280
C00154	C02934	R01281
C00154	C02990	R01923
C00154	C16216	R07758
C00155	C00542	R01289
C00155	C02291	R01290
C00156	C05848	R05000
C00156	C05809	R05615
C00156	C13425	R05616
C00156	C03885	R07273
C00157	C00162	R01309
C00157	C00670	R01309
C00157	C00416	R01310
C00157	C04230	R01313
C00157	C04233	R01314
C00157	C00162	R01315
C00157	C04230	R01315
C00157	C00162	R01316
C00157	C04233	R01316
C00157	C00219	R01317
C00157	C04230	R01317
C00157	C04230	R01318
C00157	C00641	R01321
C00157	C04230	R02114
C00157	C04233	R04514
C00157	C01595	R07064
C00157	C04230	R07064
C00157	C04230	R07859
C00157	C06427	R07859
C00157	C04233	R07860
C00157	C06427	R07860
C00157	C04233	R08387
C00157	C00641	R08969
C00158	C00311	R01324
C00158	C00417	R01325
C00158	C20775	R10677
C00159	C00275	R01326
C00159	C00275	R01327
C00159	C05400	R01329
C00159	C00275	R01330
C00159	C02492	R01332
C00159	C02478	R08613
C00160	C00988	R01334
C00162	C00422	R01350
C00162	C01885	R01351
C00162	C02112	R01352
C00162	C00195	R01494
C00162	C00350	R02053
C00162	C00350	R02054
C00162	C01958	R02115
C00162	C00422	R02250
C00162	C00641	R02687
C00162	C00641	R02688
C00162	C04230	R02746
C00162	C04233	R02747
C00162	C00958	R03107
C00162	C04438	R03416
C00162	C05973	R03417
C00162	C02737	R04034
C00162	C11547	R05792
C00162	C12126	R06518
C00162	C12145	R06528
C00162	C02075	R08388
C00109	C00332	R00410
C00109	C00332	R01357
C00109	C00356	R01360
C00109	C01089	R01361
C00109	C01061	R01364
C00109	C03197	R03225
C00165	C02112	R01368
C00165	C00422	R01369
C00165	C01885	R05209
C00166	C05852	R01372
C00166	C02763	R01378
C00167	C03033	R01383
C00167	C00190	R01384
C00167	C00191	R08615
C00168	C00258	R01388
C00168	C00258	R01392
C00168	C01146	R01394
C00169	C01563	R01395
C00169	C00438	R01397
C00170	C04188	R01402
C00170	C01137	R01920
C00170	C01137	R02869
C00170	C01137	R08359
C00173	C00229	R09380
C00173	C00229	R09381
C00178	C21028	R01415
C00178	C00214	R01570
C00180	C06206	R01421
C00180	C01416	R06728
C00181	C02266	R01430
C00181	C00379	R01431
C00183	C02554	R03665
C00187	C01164	R01451
C00187	C05500	R01454
C00187	C01164	R01456
C00187	C01802	R01457
C00187	C02530	R01461
C00187	C02530	R01462
C00187	C03594	R01463
C00187	C05502	R02723
C00187	C01953	R02724
C00187	C02373	R02724
C00187	C13550	R07207
C00187	C15519	R07218
C00187	C15610	R08505
C00187	C18043	R08941
C00187	C18043	R08977
C00187	C00599	R09920
C00188	C03508	R01465
C00188	C02992	R03663
C00189	C00346	R01468
C00189	C01233	R01470
C00189	C00350	R02051
C00189	C04476	R04362
C00189	C00346	R06870
C00189	C00350	R07376
C00189	C04756	R07385
C00189	C04635	R07388
C00189	C11695	R09536
C00191	C03033	R01478
C00191	C00800	R01481
C00191	C05787	R04979
C00191	C04900	R08127
C00191	C11376	R08260
C00191	C20383	R10134
C00194	C00853	R01492
C00195	C00319	R01493
C00195	C00319	R01494
C00195	C02960	R01495
C00195	C00319	R01496
C00195	C01190	R01497
C00195	C01190	R01498
C00195	C02686	R01500
C00195	C03701	R01501
C00195	C00550	R02541
C00195	C02686	R03617
C00195	C02960	R06522
C00195	C00550	R08969
C00197	C00236	R01512
C00197	C03232	R01513
C00197	C00258	R01514
C00197	C00236	R01515
C00197	C01159	R01516
C00197	C00631	R01518
C00197	C00236	R01660
C00198	C00257	R01519
C00199	C00345	R01528
C00199	C00231	R01529
C00199	C00345	R10221
C00203	C18060	R10183
C00212	C00294	R01560
C00212	C05692	R04936
C00213	C01026	R01565
C00217	C00819	R01579
C00218	C00788	R02919
C00218	C05588	R04894
C00218	C16608	R08347
C00219	C05966	R01593
C00219	C05965	R01596
C00219	C00427	R01599
C00219	C14748	R07041
C00219	C14749	R07046
C00219	C14771	R07048
C00219	C14770	R07050
C00219	C14769	R07051
C00219	C14768	R07052
C00219	C14778	R07054
C00219	C02249	R08183
C00219	C00909	R08527
C00219	C11695	R09536
C00031	C00198	R01520
C00031	C00198	R01521
C00031	C00092	R01600
C00031	C05403	R04783
C00031	C00092	R09086
C00229	C03939	R01624
C00229	C01209	R01626
C00229	C05764	R01706
C00229	C05223	R04014
C00229	C03939	R04355
