rxn	gene
R04121	74519
R04121	13095
R04121	13113
R04121	13089
R04121	13094
R04121	13099
R04121	226143
R04121	13086
R08391	72082
R08391	53973
R08391	404195
R08391	71754
R08391	69888
R08391	320997
R08391	56448
R08391	545123
R08391	106648
R08391	208285
R08391	100066
R08391	13088
R08391	72303
R08391	13110
R08391	665095
R08391	70101
R08391	631304
R08391	380997
R08391	13109
R08391	76279
R08391	13105
R08391	100041375
R08391	13090
R08391	13087
R08391	337924
R08391	13076
R08391	56388
R08391	74134
R08391	433247
R08391	13098
R08391	243881
R08391	13107
R08391	13078
R08391	13085
R08391	13112
R08391	107141
R08391	13096
R08391	13120
R08391	226105
R08391	13114
R08391	242546
R08391	13101
R08391	13077
R08391	223706
R08391	81906
R08391	230459
R08391	13097
R08391	74519
R08391	13095
R08391	13113
R08391	13089
R08391	13094
R08391	13099
R08391	226143
R08391	13086
R07045	72082
R07045	53973
R07045	404195
R07045	71754
R07045	69888
R07045	320997
R07045	56448
R07045	545123
R07045	106648
R07045	208285
R07045	100066
R07045	13088
R07045	72303
R07045	13110
R07045	665095
R07045	70101
R07045	631304
R07045	380997
R07045	13109
R07045	76279
R07045	13105
R07045	100041375
R07045	13090
R07045	13087
R07045	337924
R07045	13076
R07045	56388
R07045	74134
R07045	433247
R07045	13098
R07045	243881
R07045	13107
R07045	13078
R07045	13085
R07045	13112
R07045	107141
R07045	13096
R07045	13120
R07045	226105
R07045	13114
R07045	242546
R07045	13101
R07045	13077
R07045	223706
R07045	81906
R07045	230459
R07045	13097
R07045	74519
R07045	13095
R07045	13113
R07045	13089
R07045	13094
R07045	13099
R07045	226143
R07045	13086
R08265	72082
R08265	53973
R08265	404195
R08265	71754
R08265	69888
R08265	320997
R08265	56448
R08265	545123
R08265	106648
R08265	208285
R08265	100066
R08265	13088
R08265	72303
R08265	13110
R08265	665095
R08265	70101
R08265	631304
R08265	380997
R08265	13109
R08265	76279
R08265	13105
R08265	100041375
R08265	13090
R08265	13087
R08265	337924
R08265	13076
R08265	56388
R08265	74134
R08265	433247
R08265	13098
R08265	243881
R08265	13107
R08265	13078
R08265	13085
R08265	13112
R08265	107141
R08265	13096
R08265	13120
R08265	226105
R08265	13114
R08265	242546
R08265	13101
R08265	13077
R08265	223706
R08265	81906
R08265	230459
R08265	13097
R08265	74519
R08265	13095
R08265	13113
R08265	13089
R08265	13094
R08265	13099
R08265	226143
R08265	13086
R08343	72082
R08343	53973
R08343	404195
R08343	71754
R08343	69888
R08343	320997
R08343	56448
R08343	545123
R08343	106648
R08343	208285
R08343	100066
R08343	13088
R08343	72303
R08343	13110
R08343	665095
R08343	70101
R08343	631304
R08343	380997
R08343	13109
R08343	76279
R08343	13105
R08343	100041375
R08343	13090
R08343	13087
R08343	337924
R08343	13076
R08343	56388
R08343	74134
R08343	433247
R08343	13098
R08343	243881
R08343	13107
R08343	13078
R08343	13085
R08343	13112
R08343	107141
R08343	13096
R08343	13120
R08343	226105
R08343	13114
R08343	242546
R08343	13101
R08343	13077
R08343	223706
R08343	81906
R08343	230459
R08343	13097
R08343	74519
R08343	13095
R08343	13113
R08343	13089
R08343	13094
R08343	13099
R08343	226143
R08343	13086
R03090	72082
R03090	53973
R03090	404195
R03090	71754
R03090	69888
R03090	320997
R03090	56448
R03090	545123
R03090	106648
R03090	208285
R03090	100066
R03090	13088
R03090	72303
R03090	13110
R03090	665095
R03090	70101
R03090	631304
R03090	380997
R03090	13109
R03090	76279
R03090	13105
R03090	100041375
R03090	13090
R03090	13087
R03090	337924
R03090	13076
R03090	56388
R03090	74134
R03090	433247
R03090	13098
R03090	243881
R03090	13107
R03090	13078
R03090	13085
R03090	13112
R03090	107141
R03090	13096
R03090	13120
R03090	226105
R03090	13114
R03090	242546
R03090	13101
R03090	13077
R03090	223706
R03090	81906
R03090	230459
R03090	13097
R03090	74519
R03090	13095
R03090	13113
R03090	13089
R03090	13094
R03090	13099
R03090	226143
R03090	13086
R09442	72082
R09442	53973
R09442	404195
R09442	71754
R09442	69888
R09442	320997
R09442	56448
R09442	545123
R09442	106648
R09442	208285
R09442	100066
R09442	13088
R09442	72303
R09442	13110
R09442	665095
R09442	70101
R09442	631304
R09442	380997
R09442	13109
R09442	76279
R09442	13105
R09442	100041375
R09442	13090
R09442	13087
R09442	337924
R09442	13076
R09442	56388
R09442	74134
R09442	433247
R09442	13098
R09442	243881
R09442	13107
R09442	13078
R09442	13085
R09442	13112
R09442	107141
R09442	13096
R09442	13120
R09442	226105
R09442	13114
R09442	242546
R09442	13101
R09442	13077
R09442	223706
R09442	81906
R09442	230459
R09442	13097
R09442	74519
R09442	13095
R09442	13113
R09442	13089
R09442	13094
R09442	13099
R09442	226143
R09442	13086
R03697	72082
R03697	53973
R03697	404195
R03697	71754
R03697	69888
R03697	320997
R03697	56448
R03697	545123
R03697	106648
R03697	208285
R03697	100066
R03697	13088
R03697	72303
R03697	13110
R03697	665095
R03697	70101
R03697	631304
R03697	380997
R03697	13109
R03697	76279
R03697	13105
R03697	100041375
R03697	13090
R03697	13087
R03697	337924
R03697	13076
R03697	56388
R03697	74134
R03697	433247
R03697	13098
R03697	243881
R03697	13107
R03697	13078
R03697	13085
R03697	13112
R03697	107141
R03697	13096
R03697	13120
R03697	226105
R03697	13114
R03697	242546
R03697	13101
R03697	13077
R03697	223706
R03697	81906
R03697	230459
R03697	13097
R03697	74519
R03697	13095
R03697	13113
R03697	13089
R03697	13094
R03697	13099
R03697	226143
R03697	13086
R09425	72082
