ID	symbol	pval	padj	log2FC	baseMean	logPval
109815	Vimp	0.0978002988370153	0.48603666661762	0.891274152264186	1312.55001162128	-3.35401731631479
218490	Btf3	0.0978706879564707	0.486177453290877	-0.849061950761556	612.164823654959	-3.35297934906563
76932	Arfip2	0.0979066723097207	0.486177453290877	2.22203483309571	19.734648200779	-3.35244900737037
232987	B9d2	0.0980590549766078	0.48674014579823	-1.4748435518185	27.1934433683866	-3.3502053317523
213236	Dnd1	0.0981504616907729	0.486999841579187	-Inf	2.16878720319246	-3.34886113576212
14707	Gng5	0.098207170181008	0.487022274538615	-0.785974073856688	800.198200313818	-3.34802782911513
21787	Tfg	0.0982533499293972	0.487022274538615	-1.0657505097378	107.911660424017	-3.34734959315016
11798	Xiap	0.0982747684443702	0.487022274538615	0.87511503236515	1879.67392199059	-3.34703513040851
319166	Hist1h2ae	0.09831134284169	0.487022274538615	-4.69876953980329	5.12731441301882	-3.34649831016317
244349	Kat6a	0.0987631617813815	0.489066070204385	0.882078757649816	843.239140157955	-3.33988316644406
52635	Esyt2	0.0988345015648977	0.489224892728272	-0.858608966080547	209.263177152663	-3.33884143796786
19891	Rpa2	0.0989376568218383	0.489397083965475	-1.29366442640037	22.4429788420138	-3.33733645776903
100637	N4bp2l1	0.0989593191881992	0.489397083965475	-0.897048070948846	189.462799085034	-3.33702061475538
30963	Hacd1	0.0989871299135563	0.489397083965475	-2.3301937204058	10.5576109532661	-3.3366152283895
12648	Chd1	0.0991042452828475	0.489717771999904	0.860380817885297	740.475819534583	-3.33490933097719
68949	1500012F01Rik	0.0991306060665991	0.489717771999904	1.10101183660018	162.412916595455	-3.33452563888715
64136	Sdf2l1	0.0993883542876099	0.49079647485903	-1.52344312117101	24.0067931166224	-3.33077937416227
66213	Med7	0.0995169720024875	0.490918755630388	1.03311557495421	129.877430929696	-3.3289136004422
19725	Rfx2	0.0995898032961367	0.490918755630388	-Inf	1.15668650836931	-3.3278581531758
69956	Ptcd3	0.0995979308742928	0.490918755630388	1.23977963430774	25.7423006548791	-3.32774041885089
18518	Igbp1	0.0996001263498422	0.490918755630388	1.10297386518644	135.780946329106	-3.32770861731897
232539	Klhl42	0.0996101303662911	0.490918755630388	-1.31076532626183	81.9888960768869	-3.32756371770215
19357	Rad21	0.0997048940940303	0.491191488935359	-0.804279899723741	612.874719901827	-3.32619186757959
70693	Gpr125	0.0997500578007838	0.491219751043465	-Inf	2.37056312469638	-3.32553851246099
227638	Qsox2	0.0997908257312128	0.491226352344994	-1.70916630647434	32.5585942070779	-3.32494900227306
20496	Slc12a2	0.0999562003572074	0.491846090146306	-1.17684477823782	56.9526563328921	-3.32256012858622
64705	Dpys	0.10005147403882	0.491965498815883	5.76993022281114	5.98939436937855	-3.32118567254296
74318	Hopx	0.100071284221635	0.491965498815883	1.43040530781084	61.8480555191792	-3.32090004733123
233328	Lrrk1	0.100105336274136	0.491965498815883	1.35246980005837	125.914641470951	-3.3204092135103
16363	Irf2	0.100138414398995	0.491965498815883	0.840144339449211	1445.62748783846	-3.31993257794021
68279	Mcoln2	0.100185150134352	0.492001097959752	1.60225536677615	91.039542412326	-3.31925941285339
18798	Plcb4	0.100354575285859	0.49263894936427	-Inf	2.12100434268699	-3.3168217024843
76088	Dock8	0.100466060142083	0.492885025299773	-0.868350833273793	240.26710150031	-3.31521988835411
74777	Sepn1	0.100483824083909	0.492885025299773	-1.243870672181	87.7205953317915	-3.31496482027139
12416	Cbx2	0.10056263358212	0.493077470208435	-Inf	2.8194233641502	-3.31383375753706
71820	Wdr34	0.100862304735218	0.494352263845823	-Inf	3.84093130642563	-3.30954099806981
11844	Arf5	0.101092851062825	0.495287389458017	0.895316262590717	679.990800716367	-3.30624711644839
17876	Myef2	0.101354750253423	0.4962440178898	-0.965702103038849	185.346448787282	-3.3025143888506
333193	Proser3	0.101367768322461	0.4962440178898	-2.45631334472644	14.7449950283074	-3.30232910007458
11717	Ampd3	0.101601357595487	0.497192189427405	1.46969751612134	118.858967136873	-3.29900841538367
67302	Zc3h13	0.101667570327535	0.497320871107483	0.859408355287907	1739.72600222569	-3.29806852964192
52468	Ctdsp2	0.101794728725637	0.497747458866841	-1.25327774268993	225.060254497038	-3.29626523915432
